Designator,Footprint,Comment,Mid X,Mid Y,Layer,Rotation,Comment
R13,3-0603,330,-1.7272mm,17.3736mm,B,360,330
C21,402,0.01uF,99.9838mm,31.3436mm,B,180,0.01uF
C23,402,0.01uF,-3.3782mm,-0.0254mm,B,90,0.01uF
C27,402,0.01uF,111.9218mm,15.9766mm,B,90,0.01uF
C33,402,0.01uF,105.3178mm,18.2626mm,B,180,0.01uF
C43,402,0.01uF,14.7668mm,27.2796mm,B,90,0.01uF
C1,402,0.1uF,103.8352mm,6.6802mm,B,90,0.1uF
C17,402,0.1uF,105.283mm,27.6352mm,B,90,0.1uF
C22,402,0.1uF,108.7468mm,30.3276mm,B,180,0.1uF
C26,402,0.1uF,110.0168mm,22.1996mm,B,360,0.1uF
C28,402,0.1uF,112.9378mm,28.0416mm,B,90,0.1uF
C4,402,0.1uF,107.7308mm,9.3726mm,B,180,0.1uF
C5,402,0.1uF,102.9208mm,0.7366mm,B,180,0.1uF
C51,402,0.1uF,16.6878mm,18.0086mm,B,270,0.1uF
C54,402,0.1uF,19.4818mm,2.3876mm,B,360,0.1uF
C55,402,0.1uF,15.2908mm,-1.4224mm,B,180,0.1uF
C6,402,0.1uF,112.4204mm,7.4676mm,B,90,0.1uF
C61,402,0.1uF,15.2908mm,-0.2794mm,B,360,0.1uF
C62,402,0.1uF,-2.8702mm,37.6936mm,B,180,0.1uF
C65,402,0.1uF,28.1018mm,24.8666mm,B,270,0.1uF
C18,402,1.0uF,-5.1562mm,7.0866mm,B,90,1.0uF
C19,402,1.0uF,99.9838mm,33.3756mm,B,180,1.0uF
C2,402,1.0uF,114.2746mm,1.651mm,B,180,1.0uF
C24,402,1.0uF,113.8268mm,15.9766mm,B,90,1.0uF
C3,402,1.0uF,115.2906mm,5.3086mm,B,270,1.0uF
C30,402,1.0uF,13.4968mm,33.6296mm,B,360,1.0uF
C31,402,1.0uF,105.1908mm,20.2946mm,B,180,1.0uF
C36,402,1.0uF,114.9698mm,20.2946mm,B,90,1.0uF
C37,402,1.0uF,101.7618mm,28.8036mm,B,360,1.0uF
C38,402,1.0uF,100.711mm,24.1554mm,B,180,1.0uF
C41,402,1.0uF,114.6556mm,26.7716mm,B,270,1.0uF
C47,402,1.ouF,12.7508mm,27.4066mm,B,270,1.ouF
R19,3-0603,100k,-2.8702mm,12.4206mm,B,0,100k
R21,3-0603,100k,26.4508mm,21.1836mm,B,0,100k
C63,402,100pF,23.9258mm,35.9156mm,B,270,100pF
C64,402,100pF,33.0708mm,35.9156mm,B,270,100pF
R24,3-0603,10k,-2.6162mm,36.2966mm,B,180,10k
R26,3-0603,10k,12.3698mm,37.0586mm,B,360,10k
R28,3-0603,10k,11.7348mm,24.3586mm,B,270,10k
C29,Tant0805,10uF,66.04mm,3.8354mm,B,180,10uF
C7,Tant0805,10uF,97.79mm,3.1242mm,B,90,10uF
C20,402,1uF,106.2068mm,32.9946mm,B,270,1uF
C25,402,1uF,113.9538mm,9.3876mm,B,270,1uF
C32,402,1uF,112.5568mm,20.2946mm,B,360,1uF
C34,Tant0805,1uF,4.8768mm,24.7396mm,B,180,1uF
C35,Tant0805,1uF,-1.9972mm,24.1046mm,B,90,1uF
C44,402,1uF,-5.2832mm,-0.0254mm,B,270,1uF
L1,Inductor_KLZ1608AHR,2.2uH,31.8008mm,0.6096mm,B,360,2.2uH
R25,3-0603,20k,112.6838mm,18.1356mm,B,360,20k
R12,3-0603,2k,5.1308mm,22.4536mm,B,180,2k
R18,3-0603,33k,-2.8702mm,13.8176mm,B,180,33k
R20,3-0603,33k,28.2448mm,22.7076mm,B,360,33k
R10,3-0603,4.7k,100.965mm,9.7536mm,B,360,4.7k
R14,3-0603,4.7k,65.1858mm,22.4536mm,B,90,4.7k
R15,3-0603,4.7k,67.5988mm,22.4536mm,B,90,4.7k
R22,3-0603,4.7k,17.4498mm,15.8496mm,B,180,4.7k
R8,3-0603,4.7k,88.8492mm,19.2532mm,B,180,4.7k
*1,XTAL-ABM3,8MHz,28.4988mm,35.7886mm,B,360,8MHz
U20,32M1-A_M,ATmega8-16AC,27.5938mm,30.0736mm,B,270,ATmega8-16AC
C49,603,C0603,34.7708mm,2.899mm,B,90,C0603
C50,603,C0603,31.1658mm,-1.6764mm,B,90,C0603
Q1,SOT-523,DMN5L06TK-7,68.7578mm,31.5976mm,B,90,DMN5L06TK-7
Q2,SOT-523,DMN5L06TK-7,66.0908mm,31.4706mm,B,90,DMN5L06TK-7
U15,DS3231,DS3231,9.7168mm,14.0716mm,B,180,DS3231
U17,MPU6500,ICM20948,19.4658mm,-0.4644mm,B,90,ICM20948
U18,DHVQFN14,Level Shifter,26.3398mm,-1.2954mm,B,360,Level Shifter
U11,MF05A_N,LP3985IM5-3.3,-4.2832mm,3.5306mm,B,270,LP3985IM5-3.3
U12,MF05A_N,LP3985IM5-3.3,13.7508mm,30.8356mm,B,270,LP3985IM5-3.3
U4,MF05A_N,LP3985IM5-3.3,103.5398mm,32.3596mm,B,180,LP3985IM5-3.3
U6,MF05A_N,LP3985IM5-3.3,112.9378mm,12.4206mm,B,90,LP3985IM5-3.3
U7,MF05A_N,LP3985IM5-3.3,108.8738mm,19.2786mm,B,180,LP3985IM5-3.3
U8,SOT-23-OT5_N,MCP73831T-2DCI/OT,1.4318mm,23.4696mm,B,360,MCP73831T-2DCI/OT
U1,QFN32,SGTL5000,107.8578mm,5.3086mm,B,270,SGTL5000
U5,QFN32,SGTL5000,109.0008mm,26.0926mm,B,270,SGTL5000
P1,TEENSY3.2_surface_mount,Teensy Surface,84.1088mm,16.3576mm,B,180,Teensy Surface
P10,TEENSY3.2_surface_mount,Teensy Surface,50.7078mm,16.3576mm,B,180,Teensy Surface
U9,TI-DCK5_V,TLV70018DCKR,102.0158mm,26.3906mm,B,270,TLV70018DCKR
U13,TPS6274x,TPS62740,31.7428mm,2.7686mm,B,90,TPS62740
R11,3-0603,330,85.09mm,35.1536mm,T,180,330
R17,3-0603,330,44.8818mm,33.1216mm,T,90,330
R27,3-0603,330,19.6088mm,36.4236mm,T,90,330
R29,3-0603,330,21.3868mm,33.2486mm,T,360,330
C42,402,.01uF,45.7708mm,-1.4064mm,T,180,.01uF
C11,402,.47uF,110.9058mm,7.8486mm,T,180,.47uF
C15,402,0.01uF,74.8378mm,-2.3114mm,T,270,0.01uF
C56,402,0.1 uF,-5.4262mm,5.9436mm,T,270,0.1 uF
C57,402,0.1 uF,6.2578mm,12.5476mm,T,180,0.1 uF
C58,402,0.1 uF,-5.4262mm,2.7686mm,T,270,0.1 uF
C10,402,0.1uF,112.3028mm,1.8796mm,T,90,0.1uF
C53,402,0.1uF,14.6558mm,29.3116mm,T,0,0.1uF
C12,402,0.47uF,107.3498mm,7.9756mm,T,360,0.47uF
C59,402,0402 Ferrite,13.4968mm,5.3086mm,T,360,0402 Ferrite
C60,402,0402 Ferrite,13.4968mm,3.4036mm,T,360,0402 Ferrite
R7,3-0603,100K,105.0638mm,5.9436mm,T,270,100K
R3,3-0603,10K,110.9218mm,4.4958mm,T,0,10K
R4,3-0603,10K,110.7948mm,6.477mm,T,180,10K
R5,3-0603,10K,107.6038mm,6.3246mm,T,360,10K
R6,3-0603,10K,107.6038mm,4.9276mm,T,180,10K
R2,3-0603,10X,103.9114mm,-0.2032mm,T,180,10X
