Designator,Comment,Layer,Footprint,Center-X(mm),X,Center-Y(mm),Rotation,Description
*1,8MHz,BottomLayer,XTAL-ABM3,30.352,-30.352,4.1558,0,
C1,0.1uF,BottomLayer,402,105.6884,-105.6884,-24.9526,90,Ceramic Chip Capacitor - Standard
C17,0.1uF,BottomLayer,402,107.1362,-107.1362,-3.9976,90,Ceramic Chip Capacitor - Standard
C19,1.0uF,BottomLayer,402,101.837,-101.837,1.7428,180,Ceramic Chip Capacitor - Standard
C2,1.0uF,BottomLayer,402,116.1278,-116.1278,-29.9818,180,Ceramic Chip Capacitor - Standard
C20,1uF,BottomLayer,402,108.06,-108.06,1.3618,270,Ceramic Chip Capacitor - Standard
C21,0.01uF,BottomLayer,402,101.837,-101.837,-0.2892,180,Ceramic Chip Capacitor - Standard
C22,0.1uF,BottomLayer,402,110.6,-110.6,-1.3052,180,Ceramic Chip Capacitor - Standard
C24,1.0uF,BottomLayer,402,115.68,-115.68,-15.6562,90,Ceramic Chip Capacitor - Standard
C25,1uF,BottomLayer,402,115.807,-115.807,-22.2452,270,Ceramic Chip Capacitor - Standard
C26,0.1uF,BottomLayer,402,111.87,-111.87,-9.4332,0,Ceramic Chip Capacitor - Standard
C27,0.01uF,BottomLayer,402,113.775,-113.775,-15.6562,90,Ceramic Chip Capacitor - Standard
C28,0.1uF,BottomLayer,402,114.791,-114.791,-3.5912,90,Ceramic Chip Capacitor - Standard
C29,10uF,BottomLayer,Tant0805,67.8932,-67.8932,-27.7974,180,
C3,1.0uF,BottomLayer,402,117.1438,-117.1438,-26.3242,270,Ceramic Chip Capacitor - Standard
C30,1.0uF,BottomLayer,402,15.35,-15.35,1.9968,0,Ceramic Chip Capacitor - Standard
C31,1.0uF,BottomLayer,402,107.044,-107.044,-11.3382,180,Ceramic Chip Capacitor - Standard
C32,1uF,BottomLayer,402,114.41,-114.41,-11.3382,0,Ceramic Chip Capacitor - Standard
C33,0.01uF,BottomLayer,402,107.171,-107.171,-13.3702,180,Ceramic Chip Capacitor - Standard
C34,1uF,BottomLayer,Tant0805,6.73,-6.73,-6.8932,180,
C35,1uF,BottomLayer,Tant0805,-0.144,0.144,-7.5282,90,
C36,1.0uF,BottomLayer,402,116.823,-116.823,-11.3382,90,Ceramic Chip Capacitor - Standard
C37,1.0uF,BottomLayer,402,103.615,-103.615,-2.8292,0,Ceramic Chip Capacitor - Standard
C38,1.0uF,BottomLayer,402,102.5642,-102.5642,-7.4774,180,Ceramic Chip Capacitor - Standard
C4,0.1uF,BottomLayer,402,109.584,-109.584,-22.2602,180,Ceramic Chip Capacitor - Standard
C41,1.0uF,BottomLayer,402,116.5088,-116.5088,-4.8612,270,Ceramic Chip Capacitor - Standard
C43,0.01uF,BottomLayer,402,16.62,-16.62,-4.3532,90,Ceramic Chip Capacitor - Standard
C47,1.ouF,BottomLayer,402,14.604,-14.604,-4.2262,270,Ceramic Chip Capacitor - Standard
C5,0.1uF,BottomLayer,402,104.774,-104.774,-30.8962,180,Ceramic Chip Capacitor - Standard
C51,0.1uF,BottomLayer,402,31.225,-31.225,-22.5396,0,Ceramic Chip Capacitor - Standard
C6,0.1uF,BottomLayer,402,114.2736,-114.2736,-24.1652,90,Ceramic Chip Capacitor - Standard
C62,0.1uF,BottomLayer,402,-1.1346,1.1346,5.3496,180,Ceramic Chip Capacitor - Standard
C63,100pF,BottomLayer,402,25.779,-25.779,4.2828,270,Ceramic Chip Capacitor - Standard
C64,100pF,BottomLayer,402,34.924,-34.924,4.2828,270,Ceramic Chip Capacitor - Standard
C65,0.1uF,BottomLayer,402,29.955,-29.955,-6.7662,270,Ceramic Chip Capacitor - Standard
C7,10uF,BottomLayer,Tant0805,99.6432,-99.6432,-28.5086,90,
P1,Teensy Surface,BottomLayer,TEENSY3.2_surface_mount,85.962,-85.962,-15.2752,180,
P10,Teensy Surface,BottomLayer,TEENSY3.2_surface_mount,52.561,-52.561,-15.2752,180,
Q1,DMN5L06TK-7,BottomLayer,SOT-523,70.611,-70.611,-0.0352,90,Ultra-low leakage Enhanced MOSFET
Q2,DMN5L06TK-7,BottomLayer,SOT-523,-3.573,3.573,-29.8802,90,Ultra-low leakage Enhanced MOSFET
